SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1620.00,1629.00,1560.00,1571.65,1571.65,1612.80,707,8084,12875855.00,
500003,AEGIS LOGIS ,A ,Q,279.00,280.00,267.00,270.80,268.10,274.35,471,16782,4610139.00,
500008,AMAR RAJA BA,A ,Q,851.10,856.00,832.55,839.35,839.35,844.95,830,24858,21064008.00,
500009,A.SARABHAI  ,XT,Q,12.49,12.49,11.62,11.85,11.85,12.04,35,15501,188306.00,
500010,HDFC        ,A ,Q,1814.00,1831.00,1806.45,1813.80,1813.80,1805.40,1779,44320,80629545.00,
500012,ANDHRA PETRO,X ,Q,62.40,63.45,59.35,60.85,61.20,62.45,791,270210,16442116.00,
500013,ANSAL INFRAS,B ,Q,24.35,25.20,24.25,24.40,24.30,24.80,113,22270,549275.00,
500014,APPLE FINANC,X ,Q,3.65,3.83,3.65,3.66,3.66,3.65,30,19189,71092.00,
500020,BOM DYEING  ,A ,Q,254.00,271.00,253.50,260.75,260.75,250.25,13611,1599073,421487419.00,
500023,ASIANHOTNR  ,T ,Q,272.00,275.65,264.45,275.40,275.40,262.55,25,1695,463032.00,
500024,ASSAMCO     ,B ,Q,5.47,5.50,5.26,5.37,5.43,5.41,85,103739,563939.00,
500027,ATUL LTD.   ,A ,Q,2754.00,2754.00,2713.25,2730.65,2724.00,2746.00,59,347,948980.00,
500028,ATV PROJECTS,XT,Q,11.25,11.90,11.25,11.54,11.40,11.60,47,15673,182065.00,
500029,AUTOLITE(I) ,B ,Q,84.70,85.70,82.15,83.40,84.50,81.50,490,37803,3167954.00,
500031,BAJAJ ELECT.,A ,Q,518.80,529.40,510.70,513.15,513.15,518.90,1489,48451,25074313.00,
500032,BAJAJHIND   ,A ,Q,13.95,13.95,13.62,13.67,13.67,14.04,669,731724,10049417.00,
500033,FORCE MOTR  ,B ,Q,2963.00,3000.00,2950.60,2960.10,2960.10,2975.00,1953,15661,46650723.00,
500034,BAJFINANCE  ,A ,Q,1645.00,1696.75,1645.00,1669.95,1669.95,1643.15,3074,102612,172541231.00,
500038,BALRAM.CHINI,A ,Q,121.55,123.10,121.05,121.25,121.25,121.80,724,136921,16684153.00,
500039,BANCO PROD. ,B ,Q,244.90,246.35,238.25,244.80,244.30,238.60,482,17621,4291326.00,
500040,CENTURY TEXT,A ,Q,1280.00,1300.00,1267.50,1273.55,1273.55,1277.90,970,36153,46405964.00,
500041,BANNARI AMAN,B ,Q,1795.00,1795.00,1795.00,1795.00,1795.00,1817.15,1,10,17950.00,
500042,BASF INDIA  ,B ,Q,2250.00,2259.60,2152.30,2178.80,2162.70,2211.15,379,1828,4000187.00,
