SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
522285,JAY NECO IND,B ,Q,10.65,10.65,10.21,10.43,10.41,10.23,79,53695,559286.00,
522287,KALPA.POWER ,B ,Q,489.90,489.90,467.40,474.15,473.50,471.10,595,16809,8028779.00,
522289,IFM IMPEX   ,XT,Q,5.12,5.12,5.12,5.12,5.12,4.88,3,416,2129.00,
522292,CHANDNI TE  ,X ,Q,39.00,39.00,37.05,37.05,37.05,39.00,20,2893,107456.00,
522294,T & I GLOBAL,X ,Q,93.20,98.00,90.70,95.25,95.25,89.10,210,29141,2754585.00,
522295,CONTROL PRNT,B ,Q,468.45,468.45,451.60,458.10,462.00,453.00,107,3279,1497902.00,
522650,BEMCO HYDRAU,X ,Q,148.35,148.35,148.35,148.35,148.35,141.30,1,1,148.00,
523007,ANSAL BUILD.,X ,Q,88.00,91.00,82.05,86.15,86.00,84.00,137,9721,819829.00,
523011,WEIZMANN LTD,B ,Q,54.25,54.80,52.75,54.75,54.75,52.75,20,2218,119858.00,
523019,B.N.RATHI SE,X ,Q,43.90,45.00,42.00,44.25,44.25,39.95,78,13499,589429.00,
523021,RISHITECH   ,X ,Q,76.00,85.00,71.00,73.15,73.15,76.60,224,35663,2765481.00,
523023,SINCLAIR HOT,X ,Q,443.95,445.00,395.00,408.45,408.45,423.90,922,110924,45620071.00,
523025,SAFARI IND. ,X ,Q,550.00,589.95,550.00,555.75,555.00,535.35,167,8319,4737469.00,
523100,COSMO FERR. ,X ,Q,28.35,28.35,26.75,26.75,26.75,27.10,8,2310,64702.00,
523127,EIH ASSO.HOT,B ,Q,451.00,475.00,451.00,468.95,468.95,455.35,35,778,366232.00,
523144,MEDI CAPS   ,X ,Q,25.65,27.50,25.55,27.00,27.00,26.70,28,6566,175669.00,
523151,OTCO INTERN.,XT,Q,55.10,55.10,55.10,55.10,55.10,52.50,1,200,11020.00,
523160,MORGAN CRU  ,XT,Q,1003.00,1028.20,1003.00,1020.00,1020.00,1031.70,27,493,501471.00,
523204,ABAN OFFSHO ,A ,Q,187.25,194.70,186.60,189.70,189.70,186.80,4514,450485,85878678.00,
523207,KOKUYOCMLN  ,B ,Q,131.85,137.00,130.10,132.40,132.40,129.70,315,22592,3013179.00,
523218,KILBURN OFFI,XT,Q,5.94,5.95,5.39,5.95,5.95,5.67,3,702,3784.00,
523229,BHARAT SEATS,X ,Q,222.05,241.00,222.05,234.20,241.00,222.70,458,53026,12133051.00,
523232,CONT.PETRO  ,XT,Q,34.00,36.00,34.00,36.00,36.00,35.40,15,2433,84578.00,
523248,MACHINO PLAS,X ,Q,232.20,240.00,232.20,240.00,240.00,238.90,4,97,23183.00,
523260,PEARL POLYME,T ,Q,32.90,33.00,31.25,32.45,32.40,31.45,23,6329,203900.00,
523261,VENKEY'S (I),B ,Q,2810.35,2900.00,2792.35,2848.05,2848.05,2765.80,1227,11801,33772521.00,
523269,ADVANI HOTEL,B ,Q,71.00,71.80,70.85,71.55,71.55,70.75,29,4384,313313.00,
523277,G.V.FILMS   ,X ,Q,0.91,0.94,0.84,0.86,0.85,0.88,123,106001,92906.00,
523283,SUPER HOUSE ,B ,Q,169.00,170.30,162.40,163.55,163.55,165.15,149,8321,1380649.00,
523289,RAMA VISION ,XT,Q,18.90,18.90,18.90,18.90,18.90,18.90,3,1696,32054.00,
523301,TCPL PACK   ,B ,Q,630.10,645.00,626.00,638.15,645.00,638.55,36,1359,860526.00,
523319,BALMER LAWRI,B ,Q,246.95,248.75,245.30,246.15,245.30,243.70,240,11117,2744791.00,
523323,KOVAI MEDI. ,XT,Q,1200.00,1229.45,1200.00,1211.10,1211.10,1211.75,73,1348,1624104.00,
523329,ELDECO HOUS.,X ,Q,2250.00,2250.00,2151.00,2214.65,2245.00,2237.80,43,359,797983.00,
523367,DCMSHRIRAM  ,B ,Q,553.55,555.00,547.50,549.85,549.85,544.90,215,3914,2160301.00,
