SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1315.00,1315.00,1285.05,1288.45,1285.05,1288.50,405,3973,5135429.00,
500003,AEGIS LOGIS ,A ,Q,284.00,287.00,282.00,282.75,282.00,281.60,171,5376,1526126.00,
500008,AMAR RAJA BA,A ,Q,803.45,820.00,803.45,814.85,819.00,803.95,541,19596,15887441.00,
500009,A.SARABHAI  ,X ,Q,12.60,13.54,12.60,13.14,13.14,12.60,155,54602,705494.00,
500010,HDFC        ,A ,Q,1844.80,1849.70,1817.80,1821.75,1824.65,1836.60,943,22442,41049782.00,
500012,ANDHRA PETRO,X ,Q,66.00,66.50,63.10,65.50,65.50,65.25,298,68145,4448858.00,
500013,ANSAL INFRAS,B ,Q,21.00,21.45,20.10,20.65,20.70,20.80,127,39094,813958.00,
500014,APPLE FINANC,XT,Q,2.60,2.75,2.49,2.51,2.51,2.62,36,18210,45986.00,
500016,ARUNA HOTEL ,XT,Q,17.00,18.41,17.00,18.41,18.41,17.54,11,3725,68295.00,
500020,BOM DYEING  ,A ,Q,264.00,264.90,256.60,258.05,258.05,261.75,4077,494382,128756390.00,
500024,ASSAMCO     ,B ,Q,4.89,4.89,4.78,4.80,4.80,4.75,64,74319,357100.00,
500027,ATUL LTD.   ,A ,Q,2756.00,2791.95,2720.05,2740.55,2720.05,2782.60,107,684,1895767.00,
500028,ATV PROJECTS,XT,Q,10.60,10.60,9.85,10.06,10.06,10.10,13,8393,85813.00,
500029,AUTOLITE(I) ,B ,Q,80.40,81.00,76.60,78.50,78.55,79.95,257,25048,1974741.00,
500031,BAJAJ ELECT.,A ,Q,620.00,626.00,610.20,621.20,621.20,618.50,866,40051,24829707.00,
500032,BAJAJHIND   ,A ,Q,9.50,10.28,9.50,10.04,10.04,9.47,2026,2200577,22112818.00,
500033,FORCE MOTR  ,B ,Q,2862.55,2898.85,2860.00,2864.80,2864.80,2859.45,1432,17239,49484128.00,
500034,BAJFINANCE  ,A ,Q,1941.00,1955.40,1915.00,1922.30,1921.95,1941.80,1446,27238,52529997.00,
500038,BALRAM.CHINI,A ,Q,76.55,82.75,76.55,79.85,79.85,75.90,9504,2048757,166045560.00,
500039,BANCO PROD. ,B ,Q,229.00,232.00,223.50,226.70,225.00,228.95,292,14036,3210187.00,
500040,CENTURY TEXT,A ,Q,1211.10,1222.00,1200.00,1211.80,1213.00,1201.30,742,21585,26150760.00,
500041,BANNARI AMAN,B ,Q,1855.00,1874.00,1825.00,1870.00,1870.00,1850.00,16,70,129345.00,
500042,BASF INDIA  ,B ,Q,2006.00,2007.00,1974.00,1984.05,1981.00,1998.10,81,287,570606.00,
500043,BATA INDIA  ,A ,Q,775.00,780.25,762.25,770.10,770.10,774.60,652,24400,18769720.00,
500048,BEML LTD    ,A ,Q,1164.00,1165.00,1141.70,1148.15,1148.15,1146.30,862,33653,38756516.00,
500049,BHARAT ELECT,A ,Q,145.10,146.90,144.50,145.45,145.80,144.50,1570,147061,21446051.00,
500052,BHANSALI ENG,B ,Q,222.40,224.40,207.50,212.75,212.75,217.75,8466,729255,157131541.00,
500055,BHUSH STEEL ,B ,Q,45.25,45.35,43.70,44.55,44.80,45.00,967,247333,11046644.00,
500058,BIHAR SPONGE,XT,Q,1.72,1.72,1.56,1.69,1.69,1.64,14,11370,18384.00,
500059,BINANI IND. ,B ,Q,108.15,109.00,101.10,101.50,101.50,106.25,330,20141,2081960.00,
500060,BIRLACABLE  ,B ,Q,80.65,86.40,80.65,82.80,82.80,80.65,465,34938,2919993.00,
500067,BLUE STAR   ,A ,Q,795.90,809.90,779.90,788.45,792.05,793.80,439,8771,7014853.00,
500068,DISA INDIA  ,X ,Q,5999.00,5999.00,5921.00,5921.00,5921.00,5999.90,9,25,148967.00,
500069,BNK CAPITAL ,X ,Q,105.95,105.95,100.00,101.65,101.25,106.00,39,4183,423691.00,
500074,BPL LTD.    ,B ,Q,81.70,82.40,80.60,80.85,80.85,81.30,485,62329,5068893.00,
500078,OAL         ,X ,Q,892.00,915.00,881.10,887.55,884.00,897.50,51,863,771515.00,
500083,CENTURY EXT ,B ,Q,6.00,6.00,5.70,5.80,5.80,5.73,17,10607,62513.00,
500084,CESC LTD.   ,A ,Q,1027.10,1028.50,1001.35,1008.10,1009.00,1017.25,858,27036,27364457.00,
500085,CHAMBAL FERT,A ,Q,165.90,166.40,164.50,166.10,166.40,166.30,637,42799,7087726.00,
500086,EXIDE IND.  ,A ,Q,239.00,239.00,232.50,235.90,236.00,237.85,1015,59397,13935097.00,
500087,CIPLA LTD.  ,A ,Q,556.05,566.05,556.05,557.85,557.85,556.95,901,32062,17997610.00,
500089,DIC INDIA   ,B ,Q,490.00,490.00,490.00,490.00,490.00,483.00,1,5,2450.00,
500092,CRISIL LTD  ,A ,Q,1905.05,1922.20,1903.50,1910.00,1910.00,1906.15,44,263,502234.00,
500093,CGPOWER     ,A ,Q,81.30,82.00,80.85,81.30,81.30,81.05,341,51636,4201508.00,
500096,DABUR (I)   ,A ,Q,342.00,342.30,336.00,337.10,337.10,341.40,835,24124,8164387.00,
500097,DALMIASUG   ,B ,Q,71.00,75.30,70.80,72.95,72.95,69.40,393,37335,2754982.00,
500101,ARVIND Ltd  ,A ,Q,414.00,414.00,405.30,407.65,409.00,407.20,672,41523,16986983.00,
500102,BALARPUR IND,B ,Q,15.00,15.13,14.38,14.50,14.50,14.98,376,182245,2683823.00,
500103,BHEL        ,A ,Q,88.45,89.15,87.75,88.65,88.65,88.45,1585,323662,28624943.00,
500104,HIND.PETRO  ,A ,Q,370.00,370.00,359.45,364.75,364.75,366.80,1697,130802,47522153.00,
500106,IFCI LTD    ,A ,Q,21.40,21.45,21.00,21.20,21.20,21.25,853,295288,6262163.00,
500108,MAHA.TELE   ,B ,Q,21.20,21.40,20.45,20.50,20.50,20.85,603,293063,6080475.00,
500109,MRPL        ,A ,Q,114.60,114.60,112.50,113.00,113.00,113.95,445,47292,5364263.00,
500110,CHENNAI PET.,A ,Q,358.05,358.05,346.80,350.35,350.00,356.25,724,38898,13668020.00,
500111,REL.CAP.    ,A ,Q,454.15,461.60,453.65,456.90,456.90,452.55,4366,361213,165310379.00,
500112,STATE BANK  ,A ,Q,260.65,265.25,258.50,263.25,263.25,260.55,10672,4251599,1114826690.00,
500113,STEEL AUTH. ,A ,Q,75.95,77.45,75.90,76.70,76.70,75.25,3443,955210,73178159.00,
500114,TITAN       ,A ,Q,964.00,968.85,953.50,962.55,965.45,960.65,2696,115595,111209584.00,
500116,IDBI BANK L ,A ,Q,75.10,75.10,73.30,74.20,74.20,73.80,6898,5411803,400552315.00,
