SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1565.45,1609.05,1560.00,1591.60,1602.00,1598.20,428,4819,7666562.00,
500003,AEGIS LOGIS ,A ,Q,262.95,266.60,256.50,261.85,260.85,265.90,478,19769,5187521.00,XD
500008,AMAR RAJA BA,A ,Q,798.95,808.20,781.95,798.45,803.50,810.20,560,12549,10037864.00,
500009,A.SARABHAI  ,XT,Q,11.47,12.45,11.47,12.33,12.20,11.95,53,30827,376971.00,
500010,HDFC        ,A ,Q,1784.50,1784.50,1765.00,1773.20,1773.20,1811.70,4313,94554,167620882.00,
500012,ANDHRA PETRO,X ,Q,66.50,71.40,64.60,64.60,64.60,68.00,1330,589893,40107282.00,
500013,ANSAL INFRAS,B ,Q,23.05,24.80,23.05,24.35,24.35,24.00,118,20851,500371.00,
500014,APPLE FINANC,X ,Q,3.35,3.51,3.20,3.49,3.51,3.35,22,4378,15227.00,
500020,BOM DYEING  ,A ,Q,230.05,254.65,228.00,244.70,244.70,242.00,12182,1322405,325219415.00,
500023,ASIANHOTNR  ,T ,Q,230.00,252.25,230.00,250.05,248.00,240.25,27,2189,535087.00,
500024,ASSAMCO     ,B ,Q,5.50,5.56,5.05,5.54,5.54,5.30,303,324963,1747621.00,
500027,ATUL LTD.   ,A ,Q,2647.40,2770.00,2647.40,2735.35,2735.35,2726.80,94,373,1020066.00,
500028,ATV PROJECTS,XT,Q,11.00,11.50,10.80,11.25,11.00,11.03,36,24065,264297.00,
500029,AUTOLITE(I) ,B ,Q,69.95,79.40,69.70,74.10,74.05,72.10,1139,98566,7440915.00,
500031,BAJAJ ELECT.,A ,Q,496.20,546.00,485.75,536.95,536.95,509.55,4163,168262,88231841.00,
500032,BAJAJHIND   ,A ,Q,13.55,14.20,13.26,14.02,13.92,13.62,1606,1634195,22680792.00,
500033,FORCE MOTR  ,B ,Q,2950.00,3000.00,2942.15,2984.45,2984.45,3004.30,2442,22482,67161506.00,
500034,BAJFINANCE  ,A ,Q,1638.00,1654.00,1622.20,1639.55,1639.55,1658.45,2431,65076,106890123.00,
500038,BALRAM.CHINI,A ,Q,117.95,122.65,116.10,120.30,120.30,119.70,3990,598392,71990705.00,
500039,BANCO PROD. ,B ,Q,222.70,235.00,218.00,232.70,232.70,228.40,436,18633,4225112.00,
500040,CENTURY TEXT,A ,Q,1235.00,1267.80,1232.00,1262.50,1262.50,1263.15,1610,44834,56031478.00,
500041,BANNARI AMAN,B ,Q,1810.00,1862.45,1800.00,1830.00,1830.00,1839.75,19,1831,3341888.00,
500042,BASF INDIA  ,B ,Q,2020.00,2134.90,2000.00,2118.25,2118.25,2071.55,719,4005,8306290.00,
500043,BATA INDIA  ,A ,Q,696.50,719.90,695.00,715.75,715.05,711.50,1110,37938,27005746.00,
500048,BEML LTD    ,A ,Q,1219.80,1266.90,1193.00,1253.75,1253.75,1242.60,1061,24570,30493594.00,
500049,BHARAT ELECT,A ,Q,153.30,157.70,153.20,156.35,156.35,157.00,1760,275017,42821318.00,
500052,BHANSALI ENG,B ,Q,169.90,181.30,167.50,178.40,178.40,176.15,2620,271936,47407996.00,
500055,BHUSH STEEL ,B ,Q,49.25,55.00,49.25,53.00,53.00,52.45,5198,1378340,73448149.00,
500058,BIHAR SPONGE,XT,Q,2.51,2.77,2.51,2.77,2.77,2.64,33,35248,96119.00,
500059,BINANI IND. ,B ,Q,102.00,108.00,102.00,105.30,105.30,106.90,309,25925,2735840.00,
500060,BIRLACABLE  ,B ,Q,63.95,63.95,61.10,63.95,63.95,60.95,291,67204,4293961.00,
500067,BLUE STAR   ,A ,Q,721.60,748.00,708.75,741.80,743.00,724.70,211,4715,3452680.00,
500068,DISA INDIA  ,X ,Q,6145.00,6499.95,6145.00,6382.30,6311.00,5902.00,76,524,3320252.00,
500069,BNK CAPITAL ,X ,Q,107.50,124.10,107.50,124.10,124.10,116.80,37,1724,206095.00,
