SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1295.40,1300.00,1285.00,1288.50,1292.00,1295.30,303,5278,6831582.00,
500003,AEGIS LOGIS ,A ,Q,285.75,286.95,279.35,281.60,280.60,282.00,519,10366,2929814.00,
500008,AMAR RAJA BA,A ,Q,807.75,809.60,801.50,803.95,804.50,799.85,237,6607,5317040.00,
500009,A.SARABHAI  ,X ,Q,12.05,12.85,12.05,12.60,12.75,12.17,101,35442,440219.00,
500010,HDFC        ,A ,Q,1830.05,1846.20,1828.60,1836.60,1836.60,1829.60,805,18616,34250294.00,
500012,ANDHRA PETRO,X ,Q,62.70,65.50,62.70,65.25,65.25,62.70,521,145791,9455127.00,
500013,ANSAL INFRAS,B ,Q,20.75,21.50,20.65,20.80,20.90,21.00,104,28107,590543.00,
500014,APPLE FINANC,XT,Q,2.62,2.88,2.62,2.62,2.62,2.75,15,2900,8142.00,
500016,ARUNA HOTEL ,XT,Q,17.54,17.54,17.54,17.54,17.54,16.71,10,2150,37711.00,
500020,BOM DYEING  ,A ,Q,250.30,264.75,250.30,261.75,261.75,249.50,9367,994756,258549126.00,
500023,ASIANHOTNR  ,T ,Q,281.15,285.00,281.15,284.95,285.00,289.95,4,1026,292332.00,
500024,ASSAMCO     ,B ,Q,4.75,4.97,4.70,4.75,4.75,4.79,69,90169,436349.00,
500027,ATUL LTD.   ,A ,Q,2725.00,2800.00,2725.00,2782.60,2780.10,2728.20,236,1846,5072260.00,
500028,ATV PROJECTS,XT,Q,9.65,10.15,9.55,10.10,10.10,9.73,14,3596,35840.00,
500029,AUTOLITE(I) ,B ,Q,76.00,86.50,74.00,79.95,79.20,72.15,690,51624,4246722.00,
500031,BAJAJ ELECT.,A ,Q,605.80,626.00,605.80,618.50,619.50,605.90,1888,86656,53660696.00,
500032,BAJAJHIND   ,A ,Q,10.00,10.00,9.45,9.47,9.46,9.62,572,591111,5663957.00,
500033,FORCE MOTR  ,B ,Q,2896.00,2900.00,2851.00,2859.45,2859.45,2893.60,1568,17744,51022515.00,
500034,BAJFINANCE  ,A ,Q,1950.00,1967.70,1931.95,1941.80,1933.60,1933.00,1426,29639,57793350.00,
500038,BALRAM.CHINI,A ,Q,77.00,77.40,75.65,75.90,75.90,76.70,976,212312,16228700.00,
500039,BANCO PROD. ,B ,Q,228.00,229.40,226.10,228.95,229.40,227.25,237,16491,3767166.00,
500040,CENTURY TEXT,A ,Q,1224.00,1229.00,1195.05,1201.30,1201.30,1214.10,981,37940,45845580.00,
500041,BANNARI AMAN,B ,Q,1810.00,1850.00,1800.00,1850.00,1850.00,1834.05,8,23,41705.00,
500042,BASF INDIA  ,B ,Q,2037.20,2037.20,1989.00,1998.10,1998.10,2025.20,71,486,977646.00,
500043,BATA INDIA  ,A ,Q,775.00,782.00,760.00,774.60,775.50,772.85,1380,44230,34317368.00,
500048,BEML LTD    ,A ,Q,1120.00,1161.95,1120.00,1146.30,1145.00,1131.05,1530,51885,59346385.00,
500049,BHARAT ELECT,A ,Q,145.30,145.60,143.80,144.50,144.50,144.55,1500,167996,24299547.00,
500052,BHANSALI ENG,B ,Q,202.80,217.85,200.85,217.75,217.75,198.05,6740,804159,171987874.00,
500055,BHUSH STEEL ,B ,Q,44.50,45.65,44.40,45.00,45.00,44.80,1250,249133,11212062.00,
500058,BIHAR SPONGE,XT,Q,1.64,1.64,1.64,1.64,1.64,1.71,1,50,82.00,
500059,BINANI IND. ,B ,Q,109.00,111.00,102.00,106.25,106.25,105.40,1166,88129,9381259.00,
500060,BIRLACABLE  ,B ,Q,77.80,82.45,77.75,80.65,81.70,76.90,1078,79533,6402124.00,
500067,BLUE STAR   ,A ,Q,804.95,804.95,790.70,793.80,793.80,792.55,314,2996,2386134.00,
500068,DISA INDIA  ,X ,Q,5935.00,6028.70,5925.00,5999.90,6000.00,5990.40,17,223,1333839.00,
500069,BNK CAPITAL ,X ,Q,96.15,106.00,96.15,106.00,106.00,100.30,16,2909,292858.00,
500074,BPL LTD.    ,B ,Q,81.60,83.00,80.70,81.30,81.30,81.40,540,56651,4637768.00,
500078,OAL         ,X ,Q,907.00,915.00,880.00,897.50,901.00,916.40,23,764,690808.00,
500083,CENTURY EXT ,B ,Q,5.95,5.95,5.40,5.73,5.73,5.56,17,7617,43558.00,
500084,CESC LTD.   ,A ,Q,1005.00,1023.00,981.10,1017.25,1017.25,1001.65,802,20153,20247494.00,
500085,CHAMBAL FERT,A ,Q,165.50,168.00,163.40,166.30,165.20,165.55,347,38571,6387905.00,
500086,EXIDE IND.  ,A ,Q,239.90,241.15,236.60,237.85,237.85,238.95,779,63873,15246758.00,
500087,CIPLA LTD.  ,A ,Q,575.00,575.00,555.20,556.95,556.95,559.10,694,32646,18310287.00,
500089,DIC INDIA   ,B ,Q,495.00,495.95,483.00,483.00,483.00,483.00,4,105,51932.00,
500092,CRISIL LTD  ,A ,Q,1913.15,1913.15,1898.00,1906.15,1909.00,1902.55,37,190,362001.00,
500093,CGPOWER     ,A ,Q,82.15,82.15,80.55,81.05,81.05,82.00,466,84161,6827398.00,
500096,DABUR (I)   ,A ,Q,343.15,345.40,340.20,341.40,343.00,342.30,645,25167,8615472.00,
500097,DALMIASUG   ,B ,Q,68.35,71.00,68.35,69.40,69.50,69.10,61,4160,290142.00,
500101,ARVIND Ltd  ,A ,Q,412.00,415.55,406.00,407.20,406.20,410.10,764,37031,15160550.00,
500102,BALARPUR IND,B ,Q,15.05,15.43,14.85,14.98,14.98,14.72,1069,375536,5674557.00,
500103,BHEL        ,A ,Q,87.40,89.30,87.35,88.45,88.45,87.40,2075,381991,33777329.00,
500104,HIND.PETRO  ,A ,Q,355.55,369.30,355.55,366.80,366.80,354.00,3699,237869,87091453.00,
500106,IFCI LTD    ,A ,Q,21.30,21.60,20.95,21.25,21.25,21.30,1256,526974,11216445.00,
500108,MAHA.TELE   ,B ,Q,20.25,21.50,20.05,20.85,20.85,20.00,2271,1190394,24836913.00,
500109,MRPL        ,A ,Q,114.00,114.95,112.45,113.95,113.95,113.40,816,136963,15563934.00,
500110,CHENNAI PET.,A ,Q,349.00,359.40,344.45,356.25,356.25,343.65,990,54525,19318905.00,
500111,REL.CAP.    ,A ,Q,448.00,456.00,445.25,452.55,452.55,446.75,4928,382957,172648870.00,
500112,STATE BANK  ,A ,Q,261.20,262.75,257.80,260.55,260.55,259.80,8400,1675768,437413410.00,
500113,STEEL AUTH. ,A ,Q,76.20,76.50,74.70,75.25,75.25,75.70,1498,495581,37391477.00,
500114,TITAN       ,A ,Q,945.35,971.50,945.35,960.65,960.65,938.80,7062,284922,274785699.00,
500116,IDBI BANK L ,A ,Q,72.80,74.60,72.75,73.80,73.40,73.10,8200,6979823,515696598.00,
500117,DCW LTD.    ,B ,Q,35.75,36.45,35.25,35.70,35.70,35.80,548,175381,6277297.00,
500119,DHAMPUR SUGA,B ,Q,138.05,138.50,136.10,137.20,137.20,137.20,214,20410,2800896.00,
500120,DIAMINES&CHM,X ,Q,91.20,95.00,91.00,92.15,91.00,93.75,51,3395,315368.00,
500123,ELANTAS     ,B ,Q,2103.00,2200.00,2103.00,2194.95,2199.90,2096.40,127,1054,2272074.00,
500124,DR.REDDY'S  ,A ,Q,2124.20,2135.50,2111.40,2121.80,2120.00,2124.20,1060,370241,787801462.00,
500125,E.I.D.PAR   ,A ,Q,272.45,280.00,272.45,274.40,274.40,277.95,197,18675,5133896.00,
500126,MERCK LTD   ,B ,Q,1523.50,1550.95,1517.90,1526.20,1537.00,1518.45,156,1232,1889232.00,
500128,ELEC.CASTING,B ,Q,31.60,32.40,30.90,31.00,31.00,30.35,389,96218,3015449.00,
500132,EMPEE SUGARS,XT,Q,2.98,2.98,2.98,2.98,2.98,2.84,2,1006,2997.00,
500133,ESAB INDIA  ,B ,Q,725.00,731.60,723.25,725.70,725.00,725.00,56,1729,1256544.00,
500135,ESSEL PROP  ,B ,Q,250.00,250.60,246.50,248.15,247.65,247.90,78,3437,853326.00,
500136,ESTER INDUS.,B ,Q,75.20,78.00,75.20,77.10,77.10,74.30,689,179473,13866457.00,
500139,FEDDERELEC  ,B ,Q,70.85,71.20,69.75,70.95,71.10,69.50,131,14468,1022834.00,
500141,FERRO ALLOYS,X ,Q,6.92,7.05,6.46,6.78,6.78,6.72,775,978794,6573371.00,
500144,FINOL. CABLE,A ,Q,705.95,705.95,694.00,698.30,697.00,698.10,125,1958,1366845.00,
500147,CMI FPE     ,X ,Q,956.00,986.00,951.00,979.20,979.20,985.90,30,1034,1007680.00,
500148,UFLEX LTD   ,A ,Q,351.50,359.10,351.10,356.55,356.55,350.55,399,15294,5450392.00,
500150,FOSECO INDIA,B ,Q,1583.05,1624.00,1583.05,1608.00,1614.00,1583.05,9,27,43628.00,
500151,GOLDEN TOB  ,T ,Q,61.70,61.70,61.70,61.70,61.70,58.80,9,2008,123893.00,
500153,GANESH BENZO,X ,Q,84.50,85.00,82.35,83.35,83.35,84.20,823,208567,17353739.00,
500155,GARDEN SILK ,B ,Q,34.05,36.00,33.85,35.25,35.00,34.85,131,23274,816643.00,
500159,METROGLOBL  ,X ,Q,82.95,82.95,78.85,79.00,79.00,78.80,17,1593,126523.00,
500160,GTL LTD.    ,B ,Q,12.00,12.23,11.81,11.90,12.00,12.02,88,24045,286827.00,
500163,GODFREY PH  ,A ,Q,878.00,905.10,867.15,885.50,885.50,863.10,626,10502,9295658.00,
500164,GODREJ IND  ,A ,Q,557.50,559.50,550.15,553.70,553.70,554.60,479,12215,6777692.00,
